Percent Elevated Lead Cases,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Median Income,Population for whom poverty status is determined - Below 100 percent of the poverty level
0.0,84.6,6.1,0.1,2.1,0.0,4.0,3.2,13.4,77.2,34341,6.4
0.5285714285714286,82.5,1.8,2.2,0.4,0.0,0.2,13.0,19.1,75.8,37450,7.1
0.0,58.4,18.7,0.0,4.5,0.0,15.9,2.6,26.6,49.2,37869,8.9
0.0,45.3,11.2,0.0,1.7,0.0,39.7,2.1,68.7,20.4,24260,16.3
2.6966666666666668,69.7,17.6,0.3,4.7,0.0,3.0,4.8,13.7,59.8,43005,4.5
0.0,82.1,6.8,0.0,4.8,0.0,4.7,1.6,17.0,70.8,50865,6.2
1.8363636363636362,37.6,22.5,5.1,3.2,0.0,19.3,12.4,26.7,31.7,30208,11.0
1.968333333333333,56.8,18.4,0.2,3.4,0.1,16.4,4.8,32.5,44.6,29111,15.6
0.0,58.3,21.1,1.0,5.7,0.0,8.2,5.8,22.2,47.9,32003,7.6
1.0791666666666666,87.0,2.9,0.3,2.8,0.0,5.1,1.9,12.0,81.1,35453,25.5
0.0,91.9,4.6,0.0,1.7,0.0,1.3,0.6,2.6,90.9,24834,33.7
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,76250,0.0
7.145,64.6,15.0,0.3,12.5,0.0,3.9,3.6,13.7,56.6,41495,6.9
0.0,75.1,8.7,0.1,10.3,0.0,2.8,3.1,9.6,69.9,49862,4.1
1.4874999999999998,89.3,7.2,0.0,0.3,0.0,2.6,0.5,15.1,77.4,37955,2.8
0.0,72.4,16.8,0.2,3.6,0.1,2.7,4.3,16.4,59.8,40740,10.2
0.0,80.5,4.9,0.3,12.0,0.0,1.3,1.0,7.5,75.0,41641,6.5
0.7441666666666666,63.3,19.7,0.4,2.9,0.0,7.1,6.6,20.8,55.4,24058,15.1
1.299090909090909,83.5,1.9,0.8,12.0,0.0,0.0,1.8,4.1,79.4,47589,7.9
0.0,88.4,2.5,1.5,4.4,0.0,2.3,0.8,8.1,83.0,46478,6.2
0.6407692307692308,81.9,4.4,0.0,8.1,0.0,1.7,3.9,11.6,72.1,53628,5.1
0.8928571428571429,87.9,4.3,0.0,3.2,0.0,0.0,4.5,5.5,83.1,40259,1.6
0.0,55.9,22.0,0.0,9.4,0.0,6.3,6.4,20.0,50.2,41329,6.2
0.0,88.4,5.3,0.4,1.3,0.0,3.4,1.3,4.9,87.3,40528,2.7
0.0,90.2,5.6,0.0,1.4,0.0,1.8,0.9,14.7,80.2,40027,5.4
0.33999999999999997,75.0,8.7,0.4,6.5,0.1,8.6,0.7,15.0,70.8,21543,13.8
0.695,51.1,28.3,0.1,3.2,0.0,15.4,1.9,22.8,45.0,25581,26.4
0.0,77.3,10.1,0.2,2.2,0.0,7.3,3.0,18.6,69.7,40035,7.3
0.0,77.4,0.8,0.0,15.6,0.0,2.6,3.5,11.9,71.0,46315,3.2
0.588,74.9,12.8,0.0,3.5,0.0,6.6,2.3,30.5,54.5,40553,2.8
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37027,5.7
0.0,90.2,2.3,0.0,1.3,0.0,2.1,4.2,11.6,84.8,50594,3.6
0.0,87.5,4.9,0.0,4.2,0.0,1.8,1.6,8.1,82.3,55543,3.1
0.0,84.1,1.7,0.0,0.0,0.0,10.1,4.2,24.7,69.4,42604,3.0
0.0,70.3,5.7,0.2,15.4,0.0,3.4,5.0,18.2,59.0,47808,1.7
0.0,85.3,7.3,0.5,2.1,0.3,2.6,1.9,6.4,82.8,40356,4.5
0.0,82.7,5.5,0.1,1.0,0.0,9.3,1.4,19.3,73.9,37908,4.5
0.0,79.5,6.1,0.4,4.4,0.0,3.2,6.3,10.3,73.3,12017,1.3
0.41111111111111115,88.8,2.9,1.0,0.3,0.0,6.4,0.6,13.9,82.0,36615,5.4
0.0,68.5,5.5,0.1,18.6,0.0,4.8,2.6,11.8,62.3,43865,3.4
0.0,43.0,7.4,0.7,38.7,0.3,5.4,4.6,14.2,34.7,41636,6.2
10.002500000000001,77.4,1.4,0.0,10.6,0.0,7.9,2.7,17.6,68.7,40066,3.8
0.0,39.5,13.3,0.3,40.1,0.0,5.8,0.9,7.3,38.4,48125,3.4
0.0,73.1,2.0,0.6,20.7,0.0,2.0,1.6,6.1,69.4,53046,7.0
3.03,88.9,0.8,0.0,8.4,0.0,0.8,1.0,4.4,85.8,42133,5.5
8.055,81.4,0.7,0.2,15.4,0.0,0.5,1.9,5.1,77.1,69876,2.6
7.13,50.5,1.4,0.2,38.9,0.2,6.4,2.5,11.9,44.3,45182,3.9
8.89,81.5,1.8,0.1,11.4,0.0,3.8,1.3,15.6,70.0,49799,5.5
0.0,46.5,16.7,0.5,20.7,0.1,10.8,4.7,27.5,33.4,35593,18.6
0.0,70.1,2.7,0.2,15.3,0.1,8.1,3.5,23.5,56.9,36870,13.4
0.0,68.9,1.5,0.1,21.0,0.0,5.9,2.6,30.8,45.3,36969,13.2
0.0,74.3,2.5,0.3,13.7,0.0,6.6,2.6,21.4,60.7,38189,9.8
0.0,20.7,3.6,0.2,62.4,0.0,10.4,2.7,16.0,16.4,22272,21.0
0.0,12.8,3.3,0.6,72.7,0.1,8.1,2.4,14.0,8.1,20435,23.0
0.0,69.8,0.5,0.2,22.6,0.0,3.9,2.9,14.5,59.9,35469,5.4
0.0,43.5,1.2,0.2,44.9,0.0,7.8,2.4,16.5,35.9,32065,9.9
0.0,56.1,8.1,0.3,26.5,0.0,4.8,4.3,17.5,46.5,30174,13.5
0.0,27.1,15.8,0.2,13.4,0.0,40.2,3.3,64.1,7.3,24311,15.7
0.0,42.0,14.2,1.2,22.2,0.0,18.6,1.8,38.3,24.6,27193,12.3
0.0,24.2,2.4,0.6,50.7,0.0,19.6,2.5,38.7,6.9,23679,18.1
0.0,61.9,2.6,0.3,28.4,0.1,2.5,4.1,15.1,50.8,47471,9.5
0.0,48.5,2.4,0.3,37.9,0.0,7.6,3.3,38.7,19.5,28908,13.5
0.0,74.0,1.4,0.3,11.1,0.1,10.5,2.6,31.3,54.9,33158,9.4
0.0,2.2,91.7,0.2,1.3,0.2,2.7,1.6,5.6,1.4,33540,7.7
0.0,39.7,7.5,0.8,26.1,0.0,20.6,5.2,45.0,15.5,27722,15.2
0.0,10.5,17.2,1.0,29.7,0.0,35.6,6.1,20.5,3.9,25179,14.7
14.29,13.3,37.5,1.1,29.6,0.0,14.9,3.6,14.0,10.0,28783,8.6
0.0,41.4,4.9,0.4,42.2,0.0,8.1,3.0,20.5,30.3,37346,8.8
0.0,22.8,19.0,0.1,25.7,0.6,19.8,11.9,24.8,12.8,31648,7.9
16.67,22.1,15.6,0.5,40.9,0.2,16.3,4.4,25.7,12.6,23704,17.7
0.0,19.3,23.7,0.2,23.8,0.0,28.3,4.7,30.6,11.9,26952,16.4
14.35,74.0,2.5,0.0,11.0,0.0,10.6,2.0,18.9,66.9,44398,5.3
0.0,59.7,1.2,1.2,36.1,0.0,0.6,1.2,6.9,54.6,45678,3.7
0.0,96.2,1.0,0.2,1.5,0.0,0.0,1.2,2.8,93.8,58083,1.9
25.0,51.6,31.5,0.1,3.9,0.1,6.5,6.4,23.4,40.8,44134,6.2
0.0,74.7,1.4,0.0,12.5,0.0,5.4,6.0,18.7,66.0,41375,5.1
5.0,82.8,0.0,0.0,0.6,0.0,16.3,0.3,18.0,81.2,38058,4.7
0.0,91.7,0.6,0.4,4.2,0.0,1.7,1.4,15.3,79.7,44679,3.7
30.77,40.8,31.2,1.3,1.0,0.0,9.7,15.9,43.2,23.8,30068,12.5
5.0,91.1,2.2,0.0,2.9,0.0,2.2,1.6,5.7,87.6,58597,3.0
10.475000000000001,63.0,8.0,0.8,3.9,0.0,20.5,3.8,26.9,55.9,31482,12.3
0.0,84.6,2.2,0.0,7.3,0.0,3.9,2.1,7.6,80.6,58986,2.4
0.649090909090909,60.2,7.2,0.0,23.0,0.0,5.3,4.3,10.8,55.7,16458,3.9
4.555,57.2,23.1,0.0,6.9,0.0,7.9,5.0,18.9,48.1,37320,5.4
12.636666666666665,25.6,43.9,0.9,2.1,0.0,14.4,13.1,40.7,10.9,25920,12.3
2.3000000000000003,74.0,5.6,0.4,11.0,0.0,6.2,2.8,14.5,67.5,37140,4.6
0.0,82.8,1.7,0.9,1.5,0.0,11.0,2.2,26.2,69.5,35574,8.0
2.776666666666667,84.6,1.8,0.9,3.3,0.0,7.9,1.6,10.8,83.4,51893,6.7
19.35,82.8,5.6,0.1,2.8,0.0,5.9,2.8,13.7,75.5,45737,7.0
3.986666666666667,83.8,4.9,0.0,3.5,0.0,4.4,3.4,18.6,71.3,42093,3.9
12.9475,84.7,6.2,0.3,4.6,0.0,1.5,2.8,6.5,79.8,48955,2.8
5.0,91.7,2.3,0.0,3.6,0.0,1.5,0.9,6.9,86.6,52922,3.1
0.4633333333333333,67.2,9.2,0.2,17.8,0.0,1.8,3.9,7.2,63.5,29815,2.3
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,96.5,53622,0.0
7.210000000000001,79.5,9.6,0.0,2.3,0.0,4.6,3.9,13.8,72.8,51105,5.7
12.690000000000001,92.6,1.0,0.5,2.1,0.0,2.7,1.0,10.9,86.1,44650,5.7
29.703333333333333,14.2,57.6,1.4,0.1,0.0,12.8,13.8,40.2,1.5,28272,11.0
0.0,81.3,0.8,0.1,14.4,0.0,1.3,2.1,2.5,80.2,62493,2.8
2.38,75.6,4.6,0.2,16.1,0.0,2.0,1.3,10.1,68.7,51600,3.6
5.45,91.5,3.2,0.0,1.0,0.0,2.1,2.2,7.1,86.5,50442,6.7
4.3149999999999995,57.4,19.2,0.0,15.1,0.0,5.7,2.6,14.5,48.9,44032,3.0
25.0,46.9,23.7,0.1,9.5,0.1,16.0,3.7,28.8,37.7,36515,7.4
1.6666666666666667,76.1,1.3,0.8,16.6,0.0,3.0,2.2,8.0,71.0,50525,2.7
0.0,91.2,3.6,0.0,2.1,0.0,1.8,1.2,7.0,86.2,48515,5.2
0.0,40.6,46.3,0.1,2.9,0.1,8.3,1.6,27.7,24.6,22967,23.2
0.0,38.6,35.4,0.0,1.0,0.0,20.4,4.6,31.1,32.8,30835,9.0
0.0,83.4,8.6,0.1,2.5,0.0,4.0,1.5,15.9,71.8,41491,5.4
0.0,74.0,12.8,0.2,3.7,0.2,6.7,2.5,19.6,63.0,35573,6.0
0.0,49.8,18.6,0.7,3.1,0.0,20.2,7.5,44.1,33.7,31788,9.1
3.7133333333333334,95.9,0.1,0.3,1.3,0.0,0.8,1.7,5.7,90.9,40771,4.2
0.0,90.0,1.6,0.0,5.2,0.0,1.3,1.8,7.1,84.7,48116,2.6
0.0,68.2,24.1,0.2,4.9,0.0,0.4,2.1,21.3,49.0,33904,18.1
1.5866666666666667,89.3,0.4,0.1,7.9,0.0,1.4,1.0,8.1,83.0,40171,2.8
0.0,99.2,0.1,0.0,0.2,0.0,0.0,0.5,9.6,89.8,46729,2.9
0.0,58.9,14.6,0.5,1.6,0.0,19.3,5.1,66.7,17.8,26568,12.3
0.52125,88.8,2.1,0.0,2.1,0.0,5.0,2.1,9.0,82.8,53042,1.0
0.37066666666666664,87.5,7.6,0.0,0.1,0.0,1.0,3.8,12.4,79.2,31964,10.3
0.0,88.5,2.5,0.2,5.3,0.2,1.4,2.0,15.3,75.5,39428,6.1
0.0,97.5,0.7,0.0,0.7,0.0,0.0,1.1,3.1,94.4,57140,2.8
0.0,48.3,27.0,0.2,2.7,0.0,15.3,6.5,45.8,23.2,29218,13.0
0.0,86.3,0.2,0.0,10.5,0.0,0.2,2.8,3.1,83.5,73656,2.6
0.0,90.1,1.9,0.0,5.3,0.0,0.7,2.0,5.8,85.5,43747,4.3
0.0,54.6,17.1,0.2,3.3,0.0,18.5,6.4,39.7,37.6,27421,8.0
