Zip,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
12419,338,16.6,2.1,37.3,39.4
12420,271,0,10.7,45.8,56.5
12421,728,3.8,2.6,1,3.6
12422,264,9.8,0,47,47
12423,700,10.1,14.1,20.3,34.4
12424,397,3.3,0.5,24.4,24.9
12427,438,0,5,53,58
12428,3315,16.8,5.3,30,35.3
12429,102,0,0,55.9,55.9
12430,1181,6.5,4,22,26
12431,752,3.9,11.4,16,27.4
12432,237,30.8,0,25.3,25.3
12433,353,1.7,5.7,2.5,8.2
12434,467,10.5,1.3,35.5,36.8
12435,266,7.1,7.1,18.4,25.5
12436,499,4.8,17.8,51.9,69.7
12438,68,0,0,64.7,64.7
12439,508,2.6,1,23.8,24.8
12440,1141,16.2,1.5,36,37.5
12441,73,0,0,34.2,34.2
12442,1563,2.2,1.3,19.4,20.7
12443,1928,27,8.6,17,25.6
12444,720,3.6,3.5,18.5,22
12446,2766,10.6,8,18.9,26.9
12448,399,8.5,2,48.1,50.1
12449,1281,18,6,7.9,13.9
12450,116,0,0,0,0
12451,718,5.4,5.4,32.6,38
12452,248,10.1,0,24.6,24.6
12453,131,32.8,0,51.1,51.1
12454,330,13,1.5,26.4,27.9
12455,1959,6.4,5.9,23.7,29.6
12456,238,86.1,0,13.9,13.9
12457,609,9.9,7.6,38.1,45.7
12458,1279,8.2,4.7,17.4,22.1
12459,247,0,0,26.7,26.7
12460,174,5.7,8,45.4,53.4
12461,906,13.8,5.1,21.4,26.5
12463,758,13.9,7.3,28.8,36.1
12464,820,14.4,7,42.9,49.9
12465,361,6.6,0,43.2,43.2
12466,1102,13.6,6.3,20.7,27
12468,883,2.2,2.3,26.2,28.5
12469,648,6.5,2.2,32.1,34.3
12470,305,19.3,0,20.7,20.7
12471,86,0,0,69.8,69.8
12472,796,12.7,1.5,46.7,48.2
12473,586,0,2,15,17
12474,934,6.6,5.5,39.3,44.8
12475,212,0,3.8,46.2,50
12477,8597,12.8,6.1,27.3,33.4
12480,626,6.1,5.1,38.8,43.9
12481,744,15.7,12.8,20.6,33.4
12482,300,8,0,5,5
12483,375,28.3,13.3,42.4,55.7
12484,1549,12.1,3.4,27.2,30.6
12485,1171,6.3,7,45.2,52.2
12486,697,25.7,2,19.5,21.5
12487,1444,8,5.3,18.1,23.4
12489,190,10.5,16.8,34.7,51.5
12490,58,0,0,77.6,77.6
12491,813,22.9,9.3,13.3,22.6
12492,364,6.3,6.6,35.7,42.3
12493,187,0,0,45.5,45.5
12494,566,6.4,2.5,35.3,37.8
12495,233,11.2,0,23.6,23.6
12496,2333,3.6,4,19.7,23.7
12498,3255,17.7,4.5,27.4,31.9
12501,1255,13.8,4.1,36.5,40.6
12502,786,9.2,1,31.7,32.7
12503,493,4.1,4.7,27.8,32.5
12504,62,0,0,67.7,67.7
12507,91,0,0,94.5,94.5
12508,7960,9.6,6.8,31.8,38.6
12512,60,58.3,0,41.7,41.7
12513,187,42.2,11.2,8.6,19.8
12514,1444,5.3,6,19.1,25.1
12515,587,6.6,0,15.2,15.2
12516,1130,9.6,1.2,20.3,21.5
12517,302,11.9,6,16.2,22.2
12518,2771,17.3,3.4,28.9,32.3
12520,1108,13.4,7.8,50,57.8
12521,1307,9.3,4.6,12.4,17
12522,2257,7.6,4.3,17.8,22.1
12523,872,8.4,4.5,10.1,14.6
12524,6390,12.4,2.9,8.9,11.8
12525,1342,7.1,3.4,17.9,21.3
12526,1985,6.3,5.5,43,48.5
12528,5640,7.8,4.2,23.8,28
12529,1873,11.7,7.6,24.8,32.4
12530,89,0,27,55.1,82.1
12531,1322,17.5,8.6,13.3,21.9
12533,9768,9.5,2.7,7.7,10.4
12534,9074,9.7,5.7,33.5,39.2
12538,5314,27.3,4.7,8.2,12.9
12540,2896,5.4,2.2,8.5,10.7
12542,2628,13.4,5.4,23.3,28.7
12543,1495,9.3,8.4,19.3,27.7
12545,2570,10.2,6.5,31.4,37.9
12546,1703,13.4,6.9,31.4,38.3
12547,1119,11.8,1.8,21.3,23.1
12548,626,7.3,2.6,14.1,16.7
12549,4267,6,3,21.8,24.8
12550,22058,16.1,5.5,36.1,41.6
12553,10164,11.3,3.1,14,17.1
12561,6989,10.9,2.3,17.5,19.8
12563,2587,9.7,13.8,17.1,30.9
12564,3111,8.3,4.7,23.9,28.6
12565,686,6.3,10.9,52.5,63.4
12566,4251,13.6,6.5,12.2,18.7
12567,1587,9.5,4.8,27.4,32.2
12569,4317,16.1,6,10.1,16.1
12570,2748,1.5,1.9,5.3,7.2
12571,4582,14.7,3.4,19.2,22.6
12572,4271,11.5,6.1,20.9,27
12574,139,10.8,0,53.2,53.2
12575,816,4.8,2.7,8.3,11
12577,616,12.7,1.3,12.7,14
12578,943,13.6,2.2,23.4,25.6
12580,1803,6.8,4,25.9,29.9
12581,1168,12.9,3.8,22.2,26
12582,1517,6.3,0.5,5,5.5
12583,1004,7.7,4.3,29.4,33.7
12585,366,5.5,0,33.6,33.6
12586,4639,9.2,1.8,32.1,33.9
12589,5136,8.7,7,11.5,18.5
12590,13812,12.2,3.3,9.7,13
12592,559,14,5.5,34.7,40.2
12594,1711,12,3,11.5,14.5
12601,17651,13.2,8.2,28.5,36.7
12603,16951,23.3,6.2,12.7,18.9
12604,6,0,0,0,0
12701,6560,14.8,9.6,20,29.6
12719,766,8.1,7.8,31.9,39.7
12720,244,9.8,0,18.9,18.9
12721,2692,7.7,9,21,30
12722,100,0,22,30,52
12723,1178,8.9,8.8,31,39.8
12724,184,30.4,0,45.1,45.1
12725,298,7,5.7,40.3,46
12726,918,6,6,27.9,33.9
12729,945,9.6,0.8,21.4,22.2
12732,697,14.2,7.9,17.2,25.1
12733,1182,3.7,1,5.7,6.7
12734,660,21.7,2.1,21.7,23.8
12736,130,0,0,27.7,27.7
12737,1289,9.1,6.7,7.8,14.5
12738,259,5.4,6.2,11.2,17.4
12740,1064,10.1,7.1,14.9,22
12741,261,5,8,52.5,60.5
12742,101,0,22.8,39.6,62.4
12743,329,8.8,13.4,20.1,33.5
12745,133,3.8,10.5,24.8,35.3
12746,521,15,0,24.6,24.6
12747,973,20.8,11.3,18.2,29.5
12748,1272,7.7,6.1,37.4,43.5
12749,445,11.2,12.8,18,30.8
12750,100,4,0,32,32
12751,503,4.6,2.6,1.8,4.4
12752,262,0.8,21.4,42,63.4
12754,3330,11.5,7,26.8,33.8
12758,3084,8.6,3.2,22.7,25.9
12759,1349,7,1.8,9.9,11.7
12760,507,2.2,12.2,28.4,40.6
12762,416,13.9,4.8,12.7,17.5
12763,562,9.1,10.3,10.9,21.2
12764,1415,11.2,8.6,21.1,29.7
12765,446,7.4,8.5,3.6,12.1
12766,252,2.4,0,22.2,22.2
12767,91,12.1,0,47.3,47.3
12768,1028,8.4,10.2,12.2,22.4
12769,180,60,0,29.4,29.4
12770,199,6.5,20.6,32.2,52.8
12771,6334,7.8,7.7,42.2,49.9
12775,1529,8.2,5.6,13.3,18.9
12776,2104,7,4.3,34.9,39.2
12777,598,6.9,3.5,19.6,23.1
12778,1143,3,34.3,35.9,70.2
12779,1605,8.9,8.2,11.4,19.6
12780,1063,10,11.3,20.5,31.8
12781,121,14.9,18.2,47.1,65.3
12783,1147,14.3,11.9,17.8,29.7
12784,62,11.3,0,80.6,80.6
12785,488,2.5,10,21.7,31.7
12786,817,1.8,23.3,25.2,48.5
12787,203,8.9,0,54.2,54.2
12788,1431,3.3,7.9,20.5,28.4
12789,1808,7.5,5.5,8.3,13.8
12790,2919,11.1,7.1,27.2,34.3
12791,433,9.2,4.8,31.9,36.7
12792,164,5.5,8.5,15.2,23.7
12801,7157,11.4,9.5,54.1,63.6
12803,3821,19.9,7,18.1,25.1
12804,12195,10.6,3,7,10
12808,669,2.4,3.1,22.9,26
12809,1909,9.2,4,28,32
12810,399,8,5,15.3,20.3
12811,75,0,9.3,24,33.3
12812,299,5,17.7,36.5,54.2
12814,1720,9.1,3.1,23.3,26.4
12815,1171,6.5,5,15.3,20.3
12816,2553,6,3.9,39.5,43.4
12817,2204,8.2,5.4,18.5,23.9
12819,277,11.2,0,21.7,21.7
12821,153,0,7.8,0,7.8
12822,2945,8.9,7.1,33.1,40.2
12823,189,27,0,0,0
12824,996,3.9,4.3,22.7,27
12827,1847,8.9,7.1,24,31.1
12828,3995,9.7,4.2,28,32.2
12831,6628,4.1,0.2,6.4,6.6
12832,3315,7.2,3.7,36.6,40.3
12833,1927,8.4,4.4,10.3,14.7
12834,2951,7.5,1.6,46.2,47.8
12835,3020,11.2,9.1,14.1,23.2
12836,738,11.5,10.2,20.9,31.1
12837,346,0.9,0,21.1,21.1
12838,253,1.6,0,32.4,32.4
12839,5740,9.7,6.1,35.3,41.4
12841,306,12.7,9.5,25.8,35.3
12842,1543,10.8,12.5,22.4,34.9
12843,439,3.6,4.6,13.9,18.5
12844,207,9.7,6.8,26.6,33.4
12845,3712,8.3,4.9,16.5,21.4
12846,2002,10,8.8,12.5,21.3
12847,1354,13.1,4.8,26.5,31.3
12849,159,38.4,0,9.4,9.4
12850,1527,1.6,3.5,24.9,28.4
12851,385,12.2,5.2,28.8,34
12852,737,15.5,16.8,16.7,33.5
12853,1339,5.8,6,22.9,28.9
12855,319,9.7,6.9,23.5,30.4
12856,263,0,2.3,30.4,32.7
12857,497,2.2,5.2,41.4,46.6
12858,325,9.8,12.3,42.8,55.1
12859,893,2.4,0.4,8.7,9.1
12860,577,0,6.2,22.4,28.6
12861,686,14,5.4,35,40.4
12862,20,0,0,70,70
12863,275,7.3,7.6,6.5,14.1
12864,152,14.5,5.9,26.3,32.2
12865,2006,3.6,3.3,41,44.3
12866,19535,5.7,2.1,21.6,23.7
12870,1889,8.5,7.4,25,32.4
12871,1767,5.3,2.4,37.5,39.9
12872,90,11.1,15.6,13.3,28.9
12873,413,9.4,4.4,40.9,45.3
12874,401,9.7,9.2,23.2,32.4
12878,595,5.9,7.2,32.9,40.1
12883,2867,10.8,4.9,39.7,44.6
12884,228,0,4.4,69.3,73.7
12885,2597,7.7,6.2,34.9,41.1
12886,185,0,16.2,27,43.2
12887,2343,5.7,5.6,42.9,48.5
12901,14820,12.6,5.4,21.6,27
12903,693,29,6.1,7.1,13.2
12910,766,6.3,5.7,15,20.7
12911,4,0,0,100,100
12912,1189,8.4,9,31.6,40.6
12913,779,6.7,1.3,30.4,31.7
12914,405,7.4,0,33.1,33.1
12916,980,2.3,0.5,44,44.5
12917,669,3.7,1.9,31.8,33.7
12918,1107,17,12.7,16.4,29.1
12919,1331,5.6,5.7,28.1,33.8
12920,1545,5.6,4.9,38.1,43
12921,1179,4.9,3.6,28.2,31.8
12922,129,10.1,7,28.7,35.7
12923,347,1.7,11.2,35.4,46.6
12924,108,0,0,23.1,23.1
12926,1029,5.5,4.6,26.7,31.3
12927,619,18.6,7.8,23.6,31.4
12928,1142,5.3,4.5,31.4,35.9
12929,373,19.8,4.3,53.9,58.2
12930,368,3.8,4.1,31.5,35.6
12932,796,10.9,6.4,36.2,42.6
12933,18,0,66.7,16.7,83.4
12934,447,4.9,4,32.7,36.7
12935,913,4.9,3,18.9,21.9
12936,527,6.1,4.4,56.5,60.9
12937,805,9.2,3.6,32.3,35.9
12939,121,24,2.5,43,45.5
12941,960,0.9,0.5,21.6,22.1
12942,742,7,6.1,24.1,30.2
12943,577,5.2,6.2,40,46.2
12944,2205,13.2,4.7,31,35.7
12945,587,5.5,1,50.1,51.1
12946,3636,4.6,11.4,24.3,35.7
12950,418,8.6,1,31.3,32.3
12952,343,17.8,4.4,48.4,52.8
12953,5644,9.9,5.2,36.6,41.8
12955,355,14.6,5.4,24.8,30.2
12956,491,5.3,18.9,37.5,56.4
12957,783,11.9,0,23.8,23.8
12958,1014,3.7,0,24.7,24.7
12959,737,2.3,0,24.2,24.2
12960,565,8,12.9,41.9,54.8
12961,148,8.1,12.2,48,60.2
12962,2433,10.3,3.3,9.7,13
12964,150,20,0,44.7,44.7
12965,218,7.3,1.8,56.4,58.2
12966,1275,5.7,3.3,29.5,32.8
12967,445,8.1,1.1,26.7,27.8
12969,583,14.1,7.2,32.6,39.8
12970,310,6.8,4.2,45.8,50
12972,2423,11.5,2,11.5,13.5
12973,125,20,0.8,31.2,32
12974,854,11.2,12.3,47.7,60
12975,194,12.9,0,49,49
12976,225,12,3.6,14.7,18.3
12977,36,100,0,0,0
12978,144,4.9,0,40.3,40.3
12979,1057,8.1,6,30.3,36.3
12980,1272,11.2,8.3,27.4,35.7
12981,1180,1.3,1.4,28.1,29.5
12983,5014,5.8,5.5,47.9,53.4
12985,626,0,0.6,25.6,26.2
12986,3836,9.4,11.9,33.2,45.1
12987,144,0,0,15.3,15.3
12989,824,11.7,7.2,25.2,32.4
12992,2304,5.3,1.3,20.6,21.9
12993,1200,10.9,4.7,43.5,48.2
12996,1700,12.2,7.7,29.8,37.5
12997,787,6.7,7.2,27.7,34.9
12998,219,0,12.3,74.9,87.2
13020,74,0,0,40.5,40.5
13021,18716,13.2,7.1,44.2,51.3
13026,870,5.7,0.7,40.3,41
13027,14661,9.6,4.5,11.7,16.2
13028,919,9.7,8.6,28.7,37.3
13029,3134,13.8,3.2,9.1,12.3
13030,1786,19.3,9.8,17.9,27.7
13031,6655,24.5,2.5,8.7,11.2
13032,5712,10.3,3,32.9,35.9
13033,1682,2.1,1.2,39.6,40.8
13034,1119,10.9,3.7,31.1,34.8
13035,3804,6.7,2.8,32.2,35
13036,3970,5.7,5.7,16.8,22.5
13037,3697,14.3,3.2,21.9,25.1
13039,7056,10.7,4.3,3.8,8.1
13040,1369,5,2.4,36.3,38.7
13041,4381,5.5,3.3,7,10.3
13042,1307,2.7,0.8,33.6,34.4
13044,1115,5.4,8.8,17,25.8
13045,12226,10.8,4.8,48.5,53.3
13051,102,0,0,100,100
13052,1081,5.7,5.9,40.9,46.8
13053,1899,5.2,1.8,21.5,23.3
13054,595,23.7,0,28.2,28.2
13057,6535,21.2,11.2,20,31.2
13060,1201,11.9,2.3,24,26.3
13061,745,12.5,3.5,30.2,33.7
13062,43,0,0,65.1,65.1
13063,684,4.1,0.9,35.2,36.1
13064,105,1.9,25.7,21.9,47.6
13066,5359,20.5,7.8,18,25.8
13068,2332,6.3,3.4,17.9,21.3
13069,10463,9.5,5.9,36.2,42.1
13071,414,3.1,1.4,51.2,52.6
13072,418,5.7,1,37.6,38.6
13073,2864,3.6,2.9,44.6,47.5
13074,1725,5.2,4.7,25.9,30.6
13076,957,1.7,2,10.7,12.7
13077,2973,7.6,5.4,47.5,52.9
13078,3969,12.6,3.6,15.3,18.9
13080,1699,7.8,3.3,36.7,40
13081,680,13.1,7.1,36.6,43.7
13082,1980,8.4,3.9,19.2,23.1
13083,803,7,3,34,37
13084,1704,7.7,1.9,18.9,20.8
13087,89,0,0,69.7,69.7
13088,10989,21,5.3,8.2,13.5
13090,12642,5.4,1.2,2.5,3.7
13092,1039,2.7,1.1,24.6,25.7
13101,1039,7.3,3.6,49.1,52.7
13102,10,0,0,100,100
13103,128,0,0,17.2,17.2
13104,6409,9.1,2,12.1,14.1
13108,2557,9.6,3.5,28.4,31.9
13110,1198,9.3,9.1,20,29.1
13111,651,1.2,2.8,20.3,23.1
13112,772,7,11.9,29.1,41
13113,94,0,0,84,84
13114,2871,3.4,1.1,28.4,29.5
13115,112,5.4,0,61.6,61.6
13116,1480,15.3,5.3,14.9,20.2
13117,105,0,2.9,60,62.9
13118,2910,5.6,3.6,36.4,40
13120,840,23.2,16,39.3,55.3
13122,472,2.1,6.6,38.6,45.2
13123,165,0,41.2,38.8,80
13124,67,13.4,0,34.3,34.3
13126,15654,8.1,4.5,37.3,41.8
13131,1589,2.5,2.4,26.6,29
13132,1702,11.1,3.5,13.3,16.8
13134,65,4.6,0,90.8,90.8
13135,2861,7,4.9,29.7,34.6
13136,282,0,0,34,34
13140,2045,7.7,5,29.5,34.5
13141,319,5,6,40.8,46.8
13142,3221,7.5,3.3,33.5,36.8
13143,1305,1.7,3.1,36.1,39.2
13144,933,5.3,0,26.2,26.2
13145,1196,10.8,6.7,21.2,27.9
13146,954,5,4.7,40.1,44.8
13147,526,3.6,4.8,56.1,60.9
13148,5105,11.3,5.3,41,46.3
13152,4695,11.1,4.7,31.4,36.1
13153,155,0,27.1,34.2,61.3
13155,376,3.5,0,45.5,45.5
13156,1283,7.3,10.2,29.9,40.1
13157,741,6.7,15.1,36.4,51.5
13158,749,2.7,3.2,31.4,34.6
13159,2183,3.9,2.2,28.1,30.3
13160,970,3.8,6.2,42.1,48.3
13162,260,0,0,34.2,34.2
13163,160,26.3,6.9,22.5,29.4
13164,873,10.7,9.6,25.5,35.1
13165,4838,16.3,3.7,31.4,35.1
13166,2359,5.3,4.1,32.4,36.5
13167,1440,5.1,0.8,13.9,14.7
13202,2760,13.8,12.1,27.8,39.9
13203,8735,12.2,8.5,51.4,59.9
13204,9984,16.9,13.7,47.6,61.3
13205,8838,17,8.3,40.8,49.1
13206,8654,25,14.2,37.5,51.7
13207,6179,18.9,11.2,49.7,60.9
13208,10312,14,14,50.6,64.6
13209,6180,24.3,6.2,27.5,33.7
13210,9569,12.9,10.7,35.9,46.6
13211,2797,38.8,17.1,22.2,39.3
13212,8997,40.5,9.2,7.1,16.3
13214,3184,37.3,9.1,13.3,22.4
13215,5880,10.5,3.9,10.2,14.1
13219,6784,38.5,11.9,11.8,23.7
13224,4215,26.1,13.9,24.8,38.7
13301,129,0,7.8,10.1,17.9
13302,971,6.2,2.2,19.2,21.4
13303,550,11.5,3.1,20.4,23.5
13304,779,18.4,2.8,35.9,38.7
13305,128,0,18,23.4,41.4
13308,1402,6.6,5.7,24.4,30.1
13309,2782,7.7,2.4,30.4,32.8
13310,308,15.3,0,36.7,36.7
13312,823,15.3,11.2,29.5,40.7
13313,241,2.1,2.9,46.1,49
13314,216,5.6,1.4,49.5,50.9
13315,722,2.9,3,44.3,47.3
13316,3094,6.1,2.7,31.9,34.6
13317,1675,10,4.8,58.4,63.2
13318,497,0.6,1.6,20.5,22.1
13319,350,5.7,5.1,35.7,40.8
13320,1139,4.2,1.7,44.8,46.5
13321,516,7.4,5.8,48.8,54.6
13322,598,3.8,0.3,52.7,53
13323,4517,10.9,4.9,30.2,35.1
13324,1486,8.2,3.1,25.7,28.8
13325,678,3.5,3.7,35.5,39.2
13326,3605,3.2,1.8,51.4,53.2
13327,1207,7,9,27.4,36.4
13328,579,7.8,0.9,42.3,43.2
13329,1939,8.9,7.1,46,53.1
13331,964,8.9,10,33.3,43.3
13332,1220,3.9,2.6,58.4,61
13333,35,0,0,91.4,91.4
13334,756,2.5,7.8,48.4,56.2
13335,717,5,3.6,39.5,43.1
13337,361,2.2,0,54,54
13338,1556,4.8,5.7,29.2,34.9
13339,2940,6.6,8.9,41.5,50.4
13340,3591,9.4,5.7,39.8,45.5
13341,53,22.6,0,37.7,37.7
13342,135,0,0,47.4,47.4
13343,1286,10,5.2,22.9,28.1
13345,112,1.8,0,27.7,27.7
13346,2287,9.9,5.6,37.8,43.4
13348,723,1.7,7.7,45,52.7
13350,4997,11.6,8.1,50.9,59
13352,71,0,0,100,100
13353,315,9.5,8.9,25.1,34
13354,1479,13.7,1.8,25.1,26.9
13355,392,1.8,0,61,61
13357,4814,11.4,4.3,48.6,52.9
13360,1045,8.7,6.8,37.7,44.5
13361,378,6.3,0.5,46.6,47.1
13362,75,0,0,84,84
13363,1037,9.9,4.9,15.9,20.8
13364,124,4,0,87.9,87.9
13365,4219,8.8,3.7,53.3,57
13367,4122,6,5.5,37.7,43.2
13368,609,7.9,3.6,41.5,45.1
13402,957,3.3,0.7,34.7,35.4
13403,1801,15.7,3.5,14.8,18.3
13404,77,0,6.5,36.4,42.9
13406,332,6,5.4,50.3,55.7
13407,2337,15.7,5.8,42.8,48.6
13408,1199,3.9,1.4,36.2,37.6
13409,1062,3.8,1.3,44.2,45.5
13410,107,9.3,5.6,83.2,88.8
13411,1687,5.6,4.2,41.6,45.8
13413,7256,22.3,7.8,15.1,22.9
13415,32,0,0,75,75
13416,1059,4.5,0.3,34.6,34.9
13417,1911,22.6,5.9,42.3,48.2
13418,100,0,3,40,43
13420,2921,7.9,7.9,26.4,34.3
13421,6251,10.2,4.5,50.8,55.3
13424,1036,12.6,4.3,38.3,42.6
13425,967,5.9,0,48,48
13428,744,5.2,3.8,28.8,32.6
13431,803,6.4,4.9,29.5,34.4
13433,822,5.8,6.8,36.9,43.7
13435,136,1.5,0.7,81.6,82.3
13436,586,11.9,4.1,22,26.1
13437,702,8.3,3.7,16.1,19.8
13438,2118,8.9,2.7,26.5,29.2
13439,2433,3.3,4.4,48.5,52.9
13440,19029,21.4,10.1,31.2,41.3
13441,18,0,0,0,0
13450,53,0,0,24.5,24.5
13452,2113,7.1,6.6,41.3,47.9
13454,436,5,0.9,31,31.9
13456,1735,10.4,3,25,28
13459,1150,7.7,2.6,44.1,46.7
13460,2032,6.5,0.8,34,34.8
13461,1277,17.1,7.8,41.2,49
13464,655,4.4,3.2,36.6,39.8
13468,194,0,6.7,41.2,47.9
13469,364,22.5,0,39.8,39.8
13470,686,4.1,6.4,23.5,29.9
13471,1466,10,2.7,12.4,15.1
13472,293,9.9,0,14.7,14.7
13473,427,4.7,1.6,40.7,42.3
13475,20,0,35,50,85
13476,1445,6,2.4,30.8,33.2
13477,728,1.5,0,29.8,29.8
13478,1248,17.7,5.1,17.7,22.8
13480,1559,5.9,5.1,52.9,58
13483,110,2.7,0,31.8,31.8
13484,79,0,0,83.5,83.5
13485,539,3,2.2,27.6,29.8
13486,379,10,3.2,37.2,40.4
13488,100,0,0,31,31
13489,351,10,0.9,26.5,27.4
13490,666,2.1,1.1,26.7,27.8
13491,1571,3.8,4.5,36,40.5
13492,5434,26.2,5.4,19.2,24.6
13493,892,3.8,1.9,13.2,15.1
13494,581,9.1,14.8,25.8,40.6
13495,905,23.8,18.7,40.4,59.1
13501,17137,12.3,7.1,59.6,66.7
13502,14789,18.1,7.4,42.6,50
13601,17783,8.8,5.1,44.6,49.7
13602,123,0,21.1,0,21.1
13603,3516,0.9,0.1,4.4,4.5
13605,2232,5.2,4.1,38.5,42.6
13606,1162,6.3,0,31.5,31.5
13607,1703,7.1,5.3,40.5,45.8
13608,635,4.4,3.3,48.2,51.5
13612,1080,6.5,3.2,26,29.2
13613,1204,16.6,8.8,20.8,29.6
13614,122,0,7.4,18,25.4
13615,498,2.4,1.6,64.7,66.3
13616,877,3.1,3.4,13,16.4
13617,3959,6,3.5,40.5,44
13618,2371,4.3,4.1,20.4,24.5
13619,4826,4.2,3.5,36.9,40.4
13620,823,6.8,3.2,39.4,42.6
13621,289,12.1,0,15.2,15.2
13622,1391,9.3,3.3,31.5,34.8
13623,61,27.9,8.2,34.4,42.6
13624,3913,7.5,3.5,35.4,38.9
13625,1108,10,3.8,24.5,28.3
13626,1324,2.6,2,30.2,32.2
13628,86,3.5,12.8,72.1,84.9
13630,607,7.7,0,42.7,42.7
13633,185,3.8,2.7,41.6,44.3
13634,2342,7.4,4,29.9,33.9
13635,541,5.7,5.4,37.5,42.9
13636,131,3.1,0,74.8,74.8
13637,1892,2,4.2,12.1,16.3
13638,162,29.6,10.5,27.2,37.7
13639,150,3.3,8,32.7,40.7
13640,989,5.3,3.3,18.6,21.9
13641,267,7.1,0,13.5,13.5
13642,4262,7.9,3,38.5,41.5
13646,2812,9.2,6.7,30.3,37
13647,39,0,0,0,0
13648,1715,6.2,5.6,30.6,36.2
13650,1563,7.8,3.8,26.8,30.6
13651,181,5.5,5,37.6,42.6
13652,933,6.2,3.5,34.1,37.6
13654,1165,3.8,2.7,36,38.7
13655,1280,5.4,0,9,9
13656,1118,4.9,0.4,35,35.4
13658,977,6.1,4.4,37.5,41.9
13659,399,4,2,23.8,25.8
13660,704,6,0,43.5,43.5
13661,1058,9.2,1.9,27,28.9
13662,7877,26.4,14.6,19,33.6
13664,234,3,9.4,46.6,56
13665,436,2.3,6.2,38.8,45
13666,200,27.5,11,32.5,43.5
13667,1262,4.5,3.6,37,40.6
13668,1697,14.3,1.9,35.9,37.8
13669,7504,11.9,4.4,42,46.4
13670,373,11.5,9.1,33,42.1
13672,722,8.6,4,34.5,38.5
13673,988,0.8,1.8,32,33.8
13674,68,13.2,0,76.5,76.5
13675,95,22.1,0,48.4,48.4
13676,5901,14.2,2.3,28,30.3
13677,25,0,0,100,100
13678,96,22.9,8.3,30.2,38.5
13679,1665,5,3.1,27.5,30.6
13680,602,4,1.3,51.8,53.1
13681,346,7.5,3.8,41.6,45.4
13682,404,2.5,1.7,37.6,39.3
13684,723,5.4,3.9,14.9,18.8
13685,1473,5.6,6.4,25.7,32.1
13687,701,7.1,4.9,18.5,23.4
13690,516,15.5,9.7,31.4,41.1
13691,1732,4.7,3.2,30.7,33.9
13692,361,1.4,3.9,73.1,77
13693,1121,7.4,4.3,23.3,27.6
13694,717,9.9,3.6,31.7,35.3
13695,226,14.2,17.3,35.4,52.7
13696,81,0,0,100,100
13697,1007,7.2,7.3,22.9,30.2
13730,1577,6.3,4.6,24.9,29.5
13731,1285,4.4,3.3,19.8,23.1
13732,3112,15.4,2.5,10.7,13.2
13733,2638,6.9,2.4,32.9,35.3
13734,1014,10.9,10.7,26.7,37.4
13736,988,4.1,0.3,29.9,30.2
13739,643,2.5,1.6,24.3,25.9
13740,528,1.1,0,30.7,30.7
13743,1591,3.8,0.7,25.3,26
13744,546,4.6,3.1,15.8,18.9
13746,975,7.6,5.5,24.6,30.1
13748,1425,10.7,9.3,15.2,24.5
13750,641,3.1,2.2,23.1,25.3
13751,50,0,20,20,40
13752,703,3.8,1.3,35.6,36.9
13753,2206,5.1,5,35,40
13754,2301,7.7,5.3,34.6,39.9
13755,946,5.2,9.9,26.3,36.2
13756,535,14.6,5.4,18.1,23.5
13757,679,1.6,1.5,18.6,20.1
13760,21464,18.9,11.2,24.8,36
13774,146,17.8,23.3,30.1,53.4
13775,1036,1.8,3.5,47.5,51
13776,263,1.9,0,70,70
13777,199,1.5,4.5,12.1,16.6
13778,2748,9,3.1,35.4,38.5
13780,548,0,1.8,44.7,46.5
13782,496,4,1.6,34.5,36.1
13783,2211,6.6,5.9,33.6,39.5
13784,57,0,0,49.1,49.1
13786,344,2.9,1.2,24.1,25.3
13787,1949,5.6,6.9,22.8,29.7
13788,674,6.5,1.5,33.5,35
13790,8734,13.4,14.1,38.5,52.6
13794,32,0,18.8,43.8,62.6
13795,1577,26.1,7.4,11.8,19.2
13796,743,3.1,0.5,28,28.5
13797,832,2,1.8,26,27.8
13801,1116,4.8,3.7,29.1,32.8
13802,291,15.8,8.2,23,31.2
13803,1773,3.9,4.3,42.5,46.8
13804,226,0,1.3,39.4,40.7
13806,159,6.3,1.9,45.9,47.8
13807,723,2.4,5.5,40.9,46.4
13808,806,3.2,1.7,56,57.7
13809,856,6.1,0,37.7,37.7
13810,682,3.8,2.8,45.5,48.3
13811,1947,7.3,2.1,29.1,31.2
13812,1086,9.9,7.9,34.4,42.3
13813,358,12.8,0,29.3,29.3
13815,6379,11.4,4,38.5,42.5
13820,8829,8.1,7.1,42.4,49.5
13825,1650,3.9,2.1,24.9,27
13826,96,44.8,0,0,0
13827,5586,8.4,2.5,36.6,39.1
13830,2788,4.9,2,36.2,38.2
13832,350,9.7,0,25.1,25.1
13833,1888,8.4,8.8,20.3,29.1
13834,88,0,38.6,45.5,84.1
13835,666,2.4,2.6,22.5,25.1
13838,2301,19.9,12.6,33,45.6
13839,731,8.2,7.1,21.8,28.9
13841,324,3.7,3.7,45.7,49.4
13842,360,0,4.4,25.6,30
13843,1168,4.6,5,43.1,48.1
13844,326,13.8,5.5,18.7,24.2
13846,211,6.6,0,74.9,74.9
