Zip,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
10701,26328,14.7,9.1,30.5,39.6
10703,7950,20.4,7.9,34.2,42.1
10704,13200,29.7,10.7,30,40.7
10705,15294,14.3,8.2,39.3,47.5
10706,3508,17.8,7.6,43,50.6
10707,4178,14.9,6.4,41.7,48.1
10708,9820,22.5,10.7,46.6,57.3
10709,3922,32.3,15.7,23,38.7
10710,10833,32.8,8.2,14.1,22.3
10801,15479,11.7,8.9,44.7,53.6
10803,4307,13.6,6,63.3,69.3
10804,5236,29.7,9.6,36.2,45.8
10805,8077,29,12.2,27.7,39.9
10901,9148,8.8,2.9,13.1,16
10910,25,0,0,100,100
10913,1645,31.8,3.2,6.7,9.9
10914,183,8.2,28.4,9.8,38.2
10915,57,0,0,47.4,47.4
10916,1410,16.4,2.7,12.6,15.3
10917,639,5.9,0,30.7,30.7
10918,4147,9.5,4,13.5,17.5
10919,455,17.1,8.6,28.1,36.7
10920,3092,6.8,6.1,16.5,22.6
10921,1417,11.6,5.6,22.3,27.9
10922,699,9,9.7,36.3,46
10923,2744,18.4,2.8,13.3,16.1
10924,4960,8.4,2.4,24.5,26.9
10925,2260,17.5,24.6,24.2,48.8
10926,1411,2.8,0.8,22.8,23.6
10927,3849,3.8,5.1,42.8,47.9
10928,1995,15.6,13.3,40.9,54.2
10930,3121,3.4,2.1,12.3,14.4
10931,385,8.1,7,56.9,63.9
10932,35,0,0,48.6,48.6
10933,215,0,0,24.7,24.7
10940,20063,9.7,5.2,27.2,32.4
10941,5181,4.6,1.5,5.7,7.2
10950,14059,9.2,5,11.4,16.4
10952,9726,9,1.4,3.2,4.6
10953,90,0,0,27.8,27.8
10954,8805,12.6,2.5,6,8.5
10956,10694,17.9,2.9,6.5,9.4
10958,1114,8.7,4.8,29.4,34.2
10960,6988,11.8,7.7,38.6,46.3
10962,1920,19.2,1.8,3.9,5.7
10963,1054,2.8,6.1,36.3,42.4
10964,565,23.4,2.1,24.4,26.5
10965,5712,26.8,6.5,17.1,23.6
10968,1244,2.7,6.3,34.5,40.8
