,Percent Elevated Lead Cases,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Median Income,Population for whom poverty status is determined - Below 100 percent of the poverty level,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
10597,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,123849,0.0,432,16.9,0.0,0.0,0.0
10598,1.9225,86.7,3.6,0.5,5.3,0.0,2.1,1.8,11.2,78.2,49514,2.6,11215,21.7,3.2,8.7,11.9
10604,0.0,77.6,6.1,0.4,5.9,0.0,7.6,2.4,22.8,64.2,36804,8.2,4230,22.4,9.6,21.7,31.3
10701,5.152,50.1,26.4,0.9,4.7,0.1,14.9,3.1,41.2,29.6,26250,25.4,26328,14.7,9.1,30.5,39.6
10703,0.0,47.9,16.9,0.1,8.0,0.0,22.9,4.1,41.0,33.8,30581,16.9,7950,20.4,7.9,34.2,42.1
10704,0.0,68.0,11.9,0.2,6.2,0.1,10.6,3.1,26.5,55.8,39043,6.7,13200,29.7,10.7,30.0,40.7
10705,5.151999999999999,45.9,19.4,0.5,7.5,0.0,22.4,4.4,52.8,22.4,25704,22.1,15294,14.3,8.2,39.3,47.5
10709,3.85,91.1,1.1,0.1,6.8,0.0,0.6,0.3,4.6,86.6,51854,1.7,3922,32.3,15.7,23.0,38.7
10801,0.0,50.7,25.9,0.0,4.6,0.1,14.2,4.5,35.2,32.4,27019,16.0,15479,11.7,8.9,44.7,53.6
10901,4.763333333333333,79.5,4.8,0.0,7.0,0.1,6.3,2.3,13.4,73.1,42314,6.2,9148,8.8,2.9,13.1,16.0
10913,0.0,87.9,2.1,0.0,5.6,0.0,2.3,2.2,10.9,79.6,42344,1.8,1645,31.8,3.2,6.7,9.9
10914,0.0,80.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,80.5,36188,0.0,183,8.2,28.4,9.8,38.2
10915,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,55417,0.0,57,0.0,0.0,47.4,47.4
10916,0.0,93.1,0.7,0.0,3.8,0.0,2.3,0.0,6.9,87.3,34593,7.5,1410,16.4,2.7,12.6,15.3
10917,2.21,86.0,0.0,0.0,2.8,0.0,6.1,5.1,24.5,70.2,43920,8.7,639,5.9,0.0,30.7,30.7
10918,0.0,77.8,9.1,0.6,3.7,0.0,6.7,2.2,19.8,66.2,38773,5.8,4147,9.5,4.0,13.5,17.5
