,Percent Elevated Lead Cases,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Median Income,Population for whom poverty status is determined - Below 100 percent of the poverty level,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
11726,0.0,54.6,17.1,0.2,3.3,0.0,18.5,6.4,39.7,37.6,27421,8.0,6431,30.6,7.8,8.8,16.6
11729,0.0,69.6,14.4,0.0,8.4,0.0,4.7,3.0,15.7,60.1,36002,8.2,9372,30.6,6.1,4.2,10.3
11730,0.0,94.2,1.2,0.0,1.4,0.0,3.1,0.1,7.4,90.1,42220,7.3,4815,34.8,5.4,12.4,17.8
11731,0.0,93.0,1.6,0.0,3.4,0.1,1.2,0.7,7.7,86.6,40843,3.3,10788,33.6,5.6,9.3,14.9
11732,0.0,93.4,1.1,0.0,2.1,0.0,0.2,3.2,8.7,84.9,48795,3.1,1511,38.8,5.9,10.4,16.3
11733,0.0,84.4,1.6,0.1,10.4,0.0,0.8,2.7,5.0,80.7,54889,2.4,6172,9.0,2.3,12.0,14.3
11735,0.0,81.5,4.6,0.1,7.4,0.0,4.2,2.3,14.4,72.4,40481,5.1,12139,45.6,7.9,9.5,17.4
11738,0.0,88.0,2.3,0.0,6.3,0.0,1.8,1.6,15.2,75.7,38211,3.8,5440,12.2,3.0,2.1,5.1
11739,0.0,97.8,0.0,0.0,1.4,0.0,0.0,0.8,6.0,91.7,63750,5.7,340,18.8,6.5,16.5,23.0
11741,0.0,92.2,2.8,0.5,2.0,0.2,0.3,1.9,9.5,83.5,41671,3.6,9578,4.8,2.4,3.2,5.6
11742,0.0,91.6,2.9,0.0,3.5,0.0,1.3,0.6,14.4,79.2,44317,5.1,4730,11.5,1.9,2.6,4.5
11743,0.0,85.2,6.1,0.2,3.7,0.0,3.1,1.7,8.8,79.5,51255,6.4,16644,29.0,6.6,20.5,27.1
11746,0.0,70.1,6.5,0.1,9.6,0.0,12.1,1.5,22.3,59.7,38903,9.5,23009,26.5,7.8,7.3,15.1
11747,0.0,85.5,5.3,0.0,6.7,0.2,1.2,1.2,8.1,78.6,44953,4.4,7847,20.3,2.3,1.3,3.6
11749,0.0,63.3,12.8,0.0,11.4,0.0,11.7,0.9,25.5,47.3,35377,3.1,1109,4.3,3.0,3.2,6.2
11753,3.5725,64.1,0.7,0.0,31.9,0.0,1.0,2.3,2.2,62.5,69146,3.9,4465,38.4,0.9,0.9,1.8
11756,0.0,83.0,1.6,0.1,6.9,0.0,6.0,2.5,15.7,73.9,39028,4.7,13836,51.4,38.7,2.5,41.2
11757,2.94,89.3,3.1,0.3,1.3,0.0,4.1,1.9,18.5,75.9,35371,5.5,15678,38.4,10.5,11.4,21.9
11758,0.0,90.2,4.9,0.2,2.1,0.0,1.7,0.9,7.3,85.0,43550,4.4,19767,54.8,8.8,7.3,16.1
11762,2.7775,96.1,0.9,0.0,1.5,0.0,0.6,0.8,7.7,89.6,47301,1.8,7745,71.7,6.2,2.7,8.9
11763,0.0,85.1,8.8,0.0,2.8,0.0,1.4,1.9,24.5,63.4,35304,9.8,9863,5.4,3.1,3.8,6.9
11765,0.0,86.9,0.0,0.0,11.3,0.0,1.8,0.0,4.2,83.1,66250,6.1,327,24.2,4.6,28.1,32.7
11766,0.0,91.5,0.4,0.5,3.5,0.0,0.9,3.2,12.9,81.7,48878,7.3,4282,3.3,5.8,4.2,10.0
11768,0.0,96.1,1.2,0.0,1.4,0.0,0.3,1.0,4.5,92.2,47543,5.4,8679,20.0,8.3,19.8,28.1
11770,0.0,91.5,0.0,0.0,8.5,0.0,0.0,0.0,0.0,91.5,45625,10.2,1230,11.1,10.0,30.8,40.8
11771,16.665,87.8,1.9,0.0,5.8,0.0,3.6,0.8,7.8,80.8,49340,3.4,4158,13.9,7.1,35.4,42.5
11772,2.5,88.9,4.3,0.1,2.1,0.0,2.7,1.8,25.8,67.2,37038,10.7,18270,16.5,5.4,14.7,20.1
11776,0.0,86.5,4.3,0.1,4.4,0.0,2.0,2.7,17.2,74.0,38443,6.7,8438,7.7,1.7,6.7,8.4
11777,0.0,87.7,1.9,0.0,7.0,0.0,1.3,2.1,9.0,80.4,52028,6.0,3735,12.9,2.6,21.4,24.0
11779,0.0,86.7,3.0,0.2,5.8,0.2,1.4,2.6,10.3,78.5,38010,6.5,13186,17.8,6.1,7.1,13.2
11782,0.0,95.1,0.9,0.0,2.3,0.0,0.3,1.3,5.4,90.2,46908,5.2,6729,15.8,3.8,18.2,22.0
11783,5.7733333333333325,96.1,0.3,0.1,1.8,0.0,0.3,1.4,6.9,90.2,49945,2.9,7169,54.9,6.0,9.5,15.5
11786,0.0,93.4,1.0,0.0,3.6,0.0,0.6,1.4,9.6,84.5,47554,4.0,2008,13.5,0.9,4.5,5.4
11787,0.0,92.9,0.9,0.0,3.2,0.0,1.4,1.6,4.3,90.0,47509,2.8,12754,19.3,3.8,3.2,7.0
11791,1.42,69.7,1.2,0.1,26.0,0.0,1.4,1.5,4.4,66.6,62203,3.8,8624,50.8,4.3,5.9,10.2
11792,3.7,96.9,0.6,0.1,0.5,0.0,1.0,0.9,7.1,91.2,50940,4.8,3282,16.6,1.1,8.3,9.4
11793,9.09,95.4,0.3,0.0,2.3,0.0,0.7,1.3,8.7,87.7,48529,2.3,10752,60.2,12.6,6.9,19.5
11796,0.0,96.1,0.8,0.0,0.7,0.0,1.2,1.3,6.2,91.1,37674,3.3,1216,35.2,9.2,19.3,28.5
11797,0.0,84.7,2.2,0.0,11.9,0.0,0.4,0.7,2.0,83.4,51862,3.4,3276,13.4,2.0,2.3,4.3
11798,0.0,22.9,58.8,1.1,1.5,0.0,9.8,5.8,28.6,7.9,30755,16.9,4165,16.2,9.6,3.3,12.9
11801,8.629999999999999,68.2,1.4,0.2,22.9,0.0,3.7,3.6,16.2,57.8,35748,4.6,13358,59.2,16.8,9.1,25.9
11803,2.275,83.2,0.9,0.2,13.7,0.0,0.8,1.1,5.1,79.0,53531,3.5,10065,60.0,3.8,2.4,6.2
11930,1.1046153846153846,97.5,1.0,0.0,0.0,0.0,1.0,0.4,6.7,91.9,40870,4.1,2455,12.4,1.3,12.9,14.2
11932,0.5126666666666667,79.0,18.3,0.0,1.4,0.0,0.0,1.2,24.0,55.0,50030,4.9,2241,5.3,3.5,19.4,22.9
11933,0.0,87.9,3.2,0.0,2.3,0.0,0.0,6.6,15.3,77.8,35501,9.8,3725,4.0,1.2,5.1,6.3
11935,0.3506666666666666,97.0,0.8,0.0,1.6,0.0,0.7,0.0,2.6,94.9,40880,2.3,2147,11.9,3.0,16.2,19.2
11940,0.44625,97.1,1.7,0.0,0.3,0.0,0.5,0.4,3.8,94.1,44183,4.7,2176,7.6,0.4,13.0,13.4
11941,0.0,97.8,0.9,0.0,0.0,0.0,0.1,1.1,14.5,85.5,46713,10.6,832,13.6,2.4,13.1,15.5
11942,1.2333333333333334,93.9,0.1,0.4,1.9,0.0,1.6,2.2,5.9,89.6,43505,2.7,3007,15.2,1.5,8.5,10.0
11944,0.0,88.7,8.3,0.0,0.3,0.0,1.0,1.7,20.0,69.7,32500,13.1,2730,8.4,6.4,38.1,44.5
11947,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,46571,3.8,213,0.0,0.0,17.8,17.8
11948,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,84.4,43285,2.8,864,4.3,1.6,28.8,30.4
11950,0.0,80.1,10.8,2.5,1.4,0.0,4.1,1.1,25.8,59.8,30269,12.1,5074,17.2,3.4,3.8,7.2
11952,1.90625,95.6,0.3,2.7,0.3,0.0,0.1,0.9,3.1,95.4,32125,3.4,2578,19.1,5.7,26.3,32.0
11954,1.4081818181818182,96.4,1.1,0.5,0.8,0.0,0.6,0.6,10.6,86.4,37029,5.4,4579,8.9,1.4,7.7,9.1
11955,0.6614285714285714,79.0,8.0,0.5,5.6,0.0,1.7,5.2,6.3,75.0,41825,4.8,1891,1.5,0.8,7.8,8.6
11958,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,78.3,42083,0.0,451,4.4,8.9,26.2,35.1
11959,0.0,89.7,4.6,0.0,3.8,0.0,0.0,2.0,3.6,86.1,53654,6.7,1552,5.5,2.6,20.1,22.7
11960,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,94.1,36917,1.8,1047,2.8,1.3,16.6,17.9
11962,0.0,96.3,3.7,0.0,0.0,0.0,0.0,0.0,0.7,95.5,52656,0.0,847,1.1,1.1,22.8,23.9
11964,2.25,97.2,0.0,0.0,0.2,0.0,2.6,0.0,6.1,91.0,52214,3.2,2196,10.2,2.5,15.0,17.5
11967,0.0,82.8,10.9,0.5,1.8,0.0,2.8,1.2,20.9,66.6,31624,11.4,8685,12.8,2.1,1.1,3.2
11968,0.0,85.8,6.3,0.6,5.3,0.0,1.7,0.2,9.5,78.0,40849,9.8,9405,15.6,4.6,16.9,21.5
11971,0.0,98.8,0.1,0.0,0.8,0.0,0.0,0.2,5.6,93.2,36235,9.6,4207,6.1,5.7,16.1,21.8
11972,0.0,79.5,6.7,0.0,10.1,0.0,1.3,2.4,10.5,70.3,50515,9.0,607,4.4,8.7,6.4,15.1
11975,0.0,89.6,6.1,0.0,0.0,0.0,1.8,2.5,9.3,82.1,30588,26.2,747,10.2,4.6,13.8,18.4
11976,1.8657142857142857,91.3,0.2,0.5,4.9,0.0,0.0,3.1,11.8,79.8,51185,6.8,2143,1.2,7.1,16.5,23.6
11977,0.0,94.6,2.0,0.0,2.1,0.0,0.9,0.4,8.1,87.8,40637,10.9,1679,6.0,6.6,15.5,22.1
11978,0.5055555555555555,89.8,2.7,1.1,0.9,0.0,0.8,4.7,19.8,73.3,40523,7.0,3883,11.6,6.1,14.8,20.9
11980,0.5714285714285714,85.1,6.9,0.1,1.1,0.0,2.9,3.8,17.6,71.7,41904,4.5,1832,7.2,5.7,2.3,8.0
12008,5.16,86.7,0.0,0.4,12.9,0.0,0.0,0.0,9.9,76.8,43214,1.2,161,7.5,0.0,57.1,57.1
12009,0.6900000000000001,92.1,1.4,0.2,2.7,0.1,0.3,3.3,2.0,91.1,41493,4.6,3206,11.3,3.5,26.6,30.1
12010,1.3781818181818177,83.7,2.5,0.1,0.6,0.0,8.7,4.5,19.8,75.5,25915,18.1,14039,14.2,10.8,44.3,55.1
12015,1.96875,94.0,4.9,0.0,0.7,0.0,0.1,0.3,4.7,89.4,31240,9.2,1483,6.0,2.8,33.8,36.6
12018,0.0,98.4,0.0,1.4,0.0,0.0,0.0,0.2,2.7,97.1,43960,3.1,3308,15.7,8.2,23.3,31.5
12019,0.0,92.4,1.2,0.0,3.9,0.1,0.0,2.4,1.2,91.4,48712,3.2,6045,13.0,2.2,5.7,7.9
12020,1.96,95.1,1.1,0.5,1.9,0.0,0.1,1.3,3.0,92.3,38116,7.6,14136,5.2,2.1,16.9,19.0
12022,2.5254545454545454,99.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,99.7,31071,7.4,534,9.6,1.7,39.7,41.4
12023,0.86,97.3,0.5,0.0,1.4,0.0,0.0,0.8,3.0,94.8,36800,4.9,960,11.1,5.1,30.9,36.0
12025,0.0,97.0,0.8,1.2,0.3,0.0,0.5,0.3,1.3,96.2,31728,7.0,3062,9.9,11.6,15.8,27.4
12027,0.6461538461538462,97.1,0.6,0.0,1.5,0.0,0.0,0.9,1.8,95.3,43460,0.6,1575,14.4,8.8,13.3,22.1
12028,2.858,97.7,0.0,0.0,1.0,0.0,0.0,1.4,3.7,94.0,37679,1.9,317,0.0,0.0,26.5,26.5
12031,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,95.1,17356,21.8,84,3.6,0.0,50.0,50.0
12032,0.0,90.6,0.0,1.3,6.3,0.0,0.0,1.8,0.0,90.6,27702,5.6,1268,11.8,17.6,34.5,52.1
12033,3.45,95.6,1.5,0.0,0.5,0.2,0.9,1.4,3.0,93.1,38720,3.0,3384,13.6,1.5,22.3,23.8
12035,0.0,97.7,0.0,0.0,0.0,0.0,0.0,2.3,0.0,97.7,25448,23.8,344,14.5,1.5,40.4,41.9
12037,4.0,91.9,5.1,0.0,1.3,0.0,0.8,0.9,1.2,91.4,32435,8.2,2329,11.4,6.4,41.9,48.3
12041,0.0,93.9,0.0,0.0,0.0,0.0,1.5,4.6,1.5,93.9,40000,0.9,271,3.0,0.0,44.3,44.3
12042,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22292,9.7,141,5.0,0.0,20.6,20.6
12043,0.0,92.2,4.6,0.4,0.8,0.1,0.4,1.5,3.3,90.1,22859,16.8,3575,9.0,5.4,28.3,33.7
12045,6.044999999999999,96.8,0.0,0.0,0.0,0.0,3.2,0.0,10.7,89.3,32586,0.0,244,11.1,0.0,71.3,71.3
12046,2.381428571428572,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,41607,0.0,428,7.0,2.3,46.7,49.0
12047,33.33,87.8,4.5,0.5,2.5,0.0,0.6,4.1,4.3,85.0,30373,13.8,10123,10.3,5.0,45.7,50.7
12051,2.8914285714285715,73.7,25.3,0.0,0.8,0.0,0.1,0.1,12.5,62.4,31926,5.8,1828,6.2,3.5,38.0,41.5
12052,1.778,96.3,0.0,0.0,1.1,0.0,0.0,2.6,0.3,96.0,39044,11.5,810,7.0,6.5,17.5,24.0
12053,0.0,95.6,0.4,0.0,2.4,0.0,0.0,1.6,4.7,91.0,36919,4.7,1903,2.6,7.4,28.8,36.2
12056,1.9538461538461536,97.4,0.8,0.0,0.0,0.0,0.8,1.0,4.5,94.7,28533,14.4,958,5.5,4.3,20.0,24.3
12057,4.081428571428572,96.9,0.0,0.3,2.8,0.0,0.0,0.0,0.0,96.9,30514,2.5,901,6.9,0.0,28.1,28.1
12058,0.0,91.2,6.0,0.0,1.0,0.0,0.0,1.8,6.5,85.9,35528,7.0,793,2.1,6.1,18.9,25.0
12059,0.0,98.4,0.3,0.0,0.5,0.0,0.5,0.3,0.8,98.0,41153,7.2,1015,9.2,4.9,16.7,21.6
12060,5.820000000000001,98.3,0.0,0.1,1.4,0.0,0.0,0.2,1.1,97.2,32734,9.4,946,7.3,3.0,38.7,41.7
12061,0.0,92.7,1.5,0.0,4.3,0.0,0.3,1.2,0.9,92.5,42417,3.1,3806,8.4,3.7,8.1,11.8
12062,0.0,96.4,1.1,0.3,0.7,0.0,0.4,1.2,0.8,95.9,41585,5.8,754,9.7,4.0,22.0,26.0
12063,0.0,97.8,0.0,0.0,2.2,0.0,0.0,0.0,0.0,97.8,35179,0.0,138,19.6,0.0,36.2,36.2
12064,0.0,89.2,9.5,0.0,0.0,0.0,0.0,1.4,0.0,89.2,32639,16.2,385,4.2,6.0,51.2,57.2
12065,0.98,87.4,2.9,0.3,6.3,0.1,1.1,1.9,4.5,84.5,45348,5.9,18479,2.7,0.6,2.9,3.5
12066,2.083125,98.6,0.1,0.0,0.5,0.0,0.0,0.8,2.7,95.8,35746,5.9,933,10.2,4.9,25.3,30.2
12067,1.41,99.3,0.0,0.0,0.0,0.0,0.0,0.7,1.5,97.7,30707,3.7,634,9.3,5.4,24.6,30.0
12068,0.926,93.9,0.2,0.0,1.0,0.0,1.2,3.7,9.0,87.5,26412,6.9,1410,7.7,2.0,33.3,35.3
12070,4.513999999999999,96.8,2.2,0.0,0.0,0.0,0.0,1.0,5.9,93.7,27456,22.9,650,14.0,10.6,38.5,49.1
12071,0.0,98.6,0.8,0.6,0.0,0.0,0.0,0.0,0.0,98.6,35417,20.3,212,2.8,0.0,40.6,40.6
12072,3.057500000000001,95.2,2.1,0.3,0.4,0.0,0.3,1.7,3.4,92.8,26675,23.3,1160,2.5,0.9,35.6,36.5
12074,0.6486666666666667,96.4,0.7,0.0,0.0,0.0,0.1,2.8,2.9,95.9,33603,6.8,1601,7.2,2.9,25.5,28.4
12075,3.156428571428572,92.5,5.1,0.0,0.3,0.0,1.8,0.4,4.0,92.5,28698,11.6,1344,7.2,3.2,24.6,27.8
12076,0.667,96.6,0.1,0.0,0.5,0.0,1.9,0.9,7.0,92.5,25881,12.1,1489,4.8,1.3,19.1,20.4
12077,2.175,88.5,2.5,0.0,5.8,0.0,0.0,3.2,1.7,86.8,45901,7.3,2670,10.3,3.2,6.0,9.2
12083,0.271875,97.4,0.5,0.0,0.4,0.0,1.1,0.6,3.6,94.8,31558,5.7,1804,9.1,7.5,25.3,32.8
12084,0.0,64.2,6.7,0.0,23.7,0.0,4.4,1.0,9.5,62.0,41526,6.9,2198,3.7,0.3,7.5,7.8
12085,0.0,82.8,2.7,0.0,0.0,0.0,6.9,7.6,9.6,82.8,25114,7.3,201,42.3,0.0,0.0,0.0
12086,3.2446153846153836,98.9,0.0,0.0,0.0,0.0,0.4,0.7,0.6,98.7,30031,11.1,828,13.3,8.9,32.5,41.4
12087,2.381428571428572,98.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,98.8,26566,2.4,391,3.8,4.3,43.7,48.0
12090,5.271428571428571,98.2,0.0,0.1,0.2,0.0,0.2,1.3,2.7,96.0,26366,16.1,2928,6.1,1.4,58.1,59.5
12092,0.0,96.6,0.0,0.0,0.0,0.0,0.0,3.4,1.2,95.3,23370,7.7,507,7.5,6.7,24.7,31.4
12093,3.188333333333334,99.0,0.2,0.0,0.4,0.0,0.0,0.4,4.0,95.0,26410,13.0,1302,5.8,2.8,21.8,24.6
12094,1.24,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,99.8,42938,8.2,1047,5.7,0.0,37.9,37.9
12106,2.0780000000000003,99.0,0.0,0.0,0.2,0.0,0.1,0.7,0.6,99.0,42091,7.3,1306,5.8,5.7,33.1,38.8
12108,0.0,96.3,0.8,0.0,0.0,0.0,2.9,0.0,2.9,96.3,29375,23.3,949,7.6,7.2,15.2,22.4
12116,2.548461538461538,98.8,0.1,0.0,0.0,0.0,0.0,1.1,1.6,97.2,25512,15.8,1228,14.2,3.1,28.8,31.9
12117,2.2458333333333336,98.8,0.1,0.3,0.0,0.0,0.0,0.8,2.9,95.9,29009,9.2,2190,15.4,9.7,23.1,32.8
12118,0.0,91.5,2.6,0.2,3.2,0.0,0.2,2.4,2.2,89.9,37139,8.0,7043,7.2,5.1,27.3,32.4
12120,0.0,97.3,0.7,0.0,0.0,0.0,0.0,2.0,2.7,96.3,36343,13.1,342,5.6,3.8,26.0,29.8
12121,0.0,96.8,1.4,0.0,0.4,0.0,0.6,0.8,0.6,96.8,35283,3.5,610,16.9,0.0,16.7,16.7
12122,0.0,97.8,0.2,0.0,1.0,0.0,0.2,0.8,4.0,94.0,27443,14.7,2939,6.5,7.4,33.9,41.3
12123,0.74,92.7,1.9,0.0,0.0,0.0,0.6,4.7,1.5,92.3,41299,7.0,2365,9.4,12.4,33.2,45.6
12125,0.0,90.7,2.5,0.0,1.4,0.0,3.8,1.5,4.3,90.3,36766,8.7,860,4.3,0.0,53.5,53.5
12130,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,49457,1.6,384,2.9,0.0,35.7,35.7
12132,0.0,70.8,0.0,1.3,0.0,0.0,24.7,3.2,24.7,70.8,24111,26.6,166,0.0,0.0,68.1,68.1
12134,0.9239130434782608,98.5,0.2,0.0,0.2,0.2,0.3,0.7,1.1,97.6,26844,9.1,3039,9.0,6.5,28.7,35.2
12136,0.0,94.8,2.2,0.0,0.0,0.0,0.0,3.0,9.3,85.5,41864,0.9,397,2.8,4.3,40.8,45.1
12137,0.0,95.5,0.0,0.0,2.4,0.0,0.0,2.1,3.4,92.2,29000,9.2,813,3.3,11.6,26.4,38.0
12138,0.9228571428571428,98.9,0.0,0.0,0.4,0.0,0.1,0.6,2.9,96.1,33365,8.8,1896,5.7,7.4,24.1,31.5
12140,0.9615384615384616,96.4,0.9,0.5,0.0,0.0,0.1,2.1,0.1,96.4,55381,3.3,639,15.8,0.0,29.9,29.9
12143,2.9,94.2,4.7,0.0,0.0,0.0,0.2,0.9,1.0,93.2,31203,8.3,2238,13.8,7.6,28.6,36.2
12144,0.0,85.3,4.1,0.0,5.3,0.0,1.6,3.7,5.1,82.6,35935,10.3,9578,10.9,4.5,33.3,37.8
12147,0.0,96.4,2.2,0.0,0.0,0.0,0.0,1.4,0.0,96.4,36250,9.6,323,0.9,5.9,53.9,59.8
12148,0.0,93.3,0.9,0.0,5.4,0.0,0.1,0.3,3.5,90.6,51809,2.7,2070,7.3,6.4,7.2,13.6
12149,1.52,95.9,0.9,0.9,1.9,0.0,0.0,0.5,0.6,95.4,26352,15.9,1323,5.1,3.9,28.1,32.0
12150,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33417,1.6,328,11.0,0.0,38.4,38.4
12151,1.587142857142857,97.7,0.6,0.0,0.4,0.0,0.0,1.3,1.4,96.3,40662,4.3,355,3.4,1.4,76.3,77.7
12153,0.0,99.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,99.4,30800,4.7,552,0.7,0.5,25.0,25.5
12154,0.6214285714285713,92.0,4.7,0.2,0.0,0.0,0.7,2.4,1.1,92.0,31108,16.0,1167,9.1,4.2,26.8,31.0
12155,1.6142857142857143,97.0,0.2,0.0,0.2,0.0,0.3,2.3,0.6,96.6,22549,21.9,1090,6.0,2.5,38.3,40.8
12156,2.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,45357,5.9,385,0.0,0.0,44.2,44.2
12157,0.0,96.9,2.1,0.0,0.2,0.0,0.2,0.6,1.5,95.9,31056,10.3,1874,4.5,4.9,26.9,31.8
12159,4.0,88.7,0.9,0.1,8.3,0.0,0.0,2.0,1.8,87.0,50034,2.5,3516,4.3,2.8,10.2,13.0
12160,0.0,99.5,0.0,0.3,0.0,0.0,0.0,0.2,5.0,94.5,27381,9.9,390,3.6,3.8,38.5,42.3
12161,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32044,0.0,82,0.0,0.0,15.9,15.9
12164,0.0,97.7,2.3,0.0,0.0,0.0,0.0,0.0,0.3,97.5,30950,0.3,555,7.9,7.9,30.3,38.2
12165,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,31786,32.4,111,0.0,0.0,21.6,21.6
12166,0.595,96.3,1.1,0.1,0.6,0.0,0.2,1.6,0.7,95.8,29036,11.6,638,5.5,3.3,35.6,38.9
12167,2.55125,95.9,0.5,0.0,1.4,0.0,0.7,1.4,2.2,94.6,22126,15.6,1648,4.2,5.2,32.0,37.2
12168,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,99.5,34346,9.8,1124,1.8,1.5,23.2,24.7
12170,0.0,96.4,2.3,0.1,0.2,0.0,0.0,0.9,2.2,94.2,30145,6.1,1998,11.2,4.3,21.3,25.6
12172,2.6985714285714293,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14348,12.7,148,10.1,0.0,59.5,59.5
12173,2.333333333333333,94.3,1.8,0.0,0.0,0.0,0.4,3.6,3.8,90.8,35245,11.5,807,3.2,0.0,24.4,24.4
12174,5.555,93.9,0.0,0.0,0.0,0.0,0.0,6.1,1.5,92.4,31196,12.9,150,10.7,3.3,74.7,78.0
12175,0.0,94.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0,94.5,21776,18.1,442,4.8,4.1,21.7,25.8
12176,0.0,90.2,0.0,0.0,0.0,0.0,8.8,1.0,0.0,90.2,33056,16.3,182,0.0,4.9,28.0,32.9
12177,0.0,92.3,0.0,0.0,7.7,0.0,0.0,0.0,0.0,92.3,40268,0.0,281,24.9,2.8,58.0,60.8
12180,4.7614285714285725,76.4,12.4,0.0,4.2,0.0,1.4,5.5,7.6,72.5,27141,20.6,24877,8.6,5.5,47.4,52.9
12182,0.0,78.2,13.9,0.1,0.7,0.0,1.4,5.7,7.1,73.2,26286,19.2,6982,11.7,8.8,46.9,55.7
12183,4.079090909090909,89.9,4.0,0.0,4.3,0.0,0.0,1.9,9.7,80.2,31655,8.5,1323,10.4,5.4,58.4,63.8
12185,0.0,99.4,0.0,0.0,0.2,0.0,0.1,0.3,1.6,97.9,38246,2.9,861,3.4,0.8,46.3,47.1
12186,0.0,95.7,0.3,0.0,2.1,0.3,0.1,1.5,3.2,93.1,45761,3.9,2750,9.6,5.9,17.6,23.5
12187,1.5625,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,98.2,29555,10.5,349,3.2,4.6,25.2,29.8
12188,0.0,94.2,0.7,0.3,2.6,0.0,0.9,1.4,2.9,92.3,36732,6.7,5000,11.7,3.3,29.3,32.6
12190,0.0,99.9,0.1,0.0,0.0,0.0,0.0,0.0,0.3,99.6,19076,15.9,766,9.3,11.6,20.9,32.5
12192,0.0,97.7,0.2,0.0,0.0,0.0,1.1,1.1,10.3,88.4,34181,6.1,836,6.6,7.2,20.6,27.8
12193,0.37066666666666653,99.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,99.4,36439,9.2,956,1.3,2.8,24.1,26.9
12195,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,17679,12.5,92,0.0,0.0,5.4,5.4
12196,0.0,97.1,1.8,0.1,0.0,0.0,1.0,0.2,1.9,95.8,41627,8.3,1276,20.3,8.5,14.4,22.9
12197,2.3528571428571428,95.2,1.2,0.0,0.4,0.0,0.8,2.5,5.8,90.7,28407,15.8,1322,4.8,2.5,39.8,42.3
12198,0.0,94.7,1.5,0.0,0.8,0.0,0.7,2.3,2.2,93.4,38545,1.7,3219,25.1,4.4,25.1,29.5
12207,1.4754545454545456,34.8,47.4,0.0,7.5,0.0,1.5,8.8,8.2,30.3,11928,57.1,1059,1.3,0.7,36.4,37.1
12303,1.19,76.8,9.7,0.5,5.8,0.0,4.1,3.2,6.8,72.9,28991,10.3,13011,16.4,9.9,31.9,41.8
12304,0.0,62.2,17.7,0.5,5.2,0.0,7.9,6.4,9.2,58.2,26853,14.5,10074,13.1,10.4,40.1,50.5
12305,3.951111111111112,65.9,21.5,0.6,4.2,0.0,1.7,6.1,9.0,62.2,17519,28.4,3223,8.0,7.2,59.2,66.4
12306,4.763333333333333,90.6,3.6,0.1,2.4,0.0,2.0,1.2,4.5,87.1,30290,11.4,11439,14.8,13.8,30.7,44.5
12309,3.703333333333333,83.6,5.3,0.0,8.0,0.0,0.6,2.4,2.8,81.4,44948,4.5,11455,17.2,10.0,21.7,31.7
12401,4.515,75.8,12.1,0.3,3.5,0.0,2.3,6.0,11.9,69.5,26970,17.0,16288,15.0,6.6,42.0,48.6
12404,1.7154545454545456,87.5,1.9,0.1,1.5,0.0,2.3,6.8,4.5,87.3,32743,7.6,2236,4.8,5.4,27.3,32.7
12405,0.0,94.1,0.0,0.0,2.3,0.0,3.6,0.0,3.6,94.1,18042,6.2,308,23.4,9.7,33.4,43.1
12406,0.0,98.5,0.0,0.0,0.0,0.0,0.0,1.5,13.1,85.4,16934,17.0,734,7.5,8.9,27.0,35.9
12409,0.0,98.7,0.4,0.0,0.0,0.0,0.0,0.9,0.6,98.1,42841,13.2,476,7.1,3.8,40.3,44.1
12412,0.0,81.9,0.0,0.0,2.9,0.0,11.5,3.6,11.5,81.9,25969,11.5,424,0.0,9.7,15.3,25.0
12413,0.8333333333333334,93.0,0.1,0.0,1.4,0.0,0.3,5.2,5.1,89.4,21965,12.8,1593,12.9,6.3,23.3,29.6
12417,11.565714285714288,66.4,4.0,0.0,0.0,0.0,8.8,20.9,8.8,66.4,26476,13.6,189,7.9,9.0,32.3,41.3
